_H:	$Name	%Input[2:0,0]<2:25,1>	%Input[2:1,0]	%Input[2:2,0]	%Input[2:3,0]	%Input[2:4,0]	%Input[2:5,0]	%Input[2:6,0]	%Input[2:7,0]	%Input[2:8,0]	%Input[2:9,0]	%Input[2:10,0]	%Input[2:11,0]	%Input[2:12,0]	%Input[2:13,0]	%Input[2:14,0]	%Input[2:15,0]	%Input[2:16,0]	%Input[2:17,0]	%Input[2:18,0]	%Input[2:19,0]	%Input[2:20,0]	%Input[2:21,0]	%Input[2:22,0]	%Input[2:23,0]	%Input[2:24,0]	%Output[2:0,0]<2:1,1>
_D:	"N120_20140702_181000_20140702_183000"	0.756944	0.49863	0	0	1	0	0	0	0	0	0	0.342424	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152135
_D:	"N120_20140702_183000_20140702_185000"	0.770833	0.49863	0	0	1	0	0	0	0	0	0	0.293939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143719
_D:	"N120_20140702_185000_20140702_191000"	0.784722	0.49863	0	0	1	0	0	0	0	0	0	0.306061	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231541
_D:	"N120_20140702_191000_20140702_193000"	0.798611	0.49863	0	0	1	0	0	0	0	0	0	0.318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.588437
_D:	"N120_20140702_193000_20140702_195000"	0.8125	0.49863	0	0	1	0	0	0	0	0	0	0.306061	0	0	0	0	0	0	0	0	0	0	0	0	0	0.563021
_D:	"N120_20140702_195000_20140702_201000"	0.826389	0.49863	0	0	1	0	0	0	0	0	0	0.327273	0	0	0	0	0	0	0	0	0	0	0	0	0	0.731359
_D:	"N120_20140702_201000_20140702_203000"	0.840278	0.49863	0	0	1	0	0	0	0	0	0	0.321212	0	0	0	0	0	0	0	0	0	0	0	0	0	0.764854
_D:	"N120_20140702_203000_20140702_205000"	0.854167	0.49863	0	0	1	0	0	0	0	0	0	0.321212	0	0	0	0	0	0	0	0	0	0	0	0	0	0.491177
_D:	"N120_20140702_205000_20140702_211000"	0.868056	0.49863	0	0	1	0	0	0	0	0	0	0.336364	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413828
_D:	"N120_20140702_211000_20140702_213000"	0.881944	0.49863	0	0	1	0	0	0	0	0	0	0.306061	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238406
_D:	"N120_20140702_213000_20140702_215000"	0.895833	0.49863	0	0	1	0	0	0	0	0	0	0.312121	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152791
_D:	"N120_20140702_215000_20140702_221000"	0.909722	0.49863	0	0	1	0	0	0	0	0	0	0.309091	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156177
_D:	"N120_20140702_221000_20140702_223000"	0.923611	0.49863	0	0	1	0	0	0	0	0	0	0.306061	0	0	0	0	0	0	0	0	0	0	0	0	0	0.408578
_D:	"N120_20140702_223000_20140702_225000"	0.9375	0.49863	0	0	1	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.643474
_D:	"N120_20140702_225000_20140702_231000"	0.951389	0.49863	0	0	1	0	0	0	0	0	0	0.290909	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428788
_D:	"N120_20140702_231000_20140702_233000"	0.965278	0.49863	0	0	1	0	0	0	0	0	0	0.260606	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398611
_D:	"N120_20140702_233000_20140702_235000"	0.979167	0.49863	0	0	1	0	0	0	0	0	0	0.266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.604266
_D:	"N120_20140702_235000_20140703_001000"	0.993056	0.49863	0	0	1	0	0	0	0	0	0	0.254545	0	0	0	0	0	0	0	0	0	0	0	0	0	0.610042
_D:	"N120_20140703_001000_20140703_003000"	0.00694444	0.50137	0	0	0	1	0	0	0	0	0	0.254545	0	0	0	0	0	0	0	0	0	0	0	0	0	0.619
_D:	"N120_20140703_003000_20140703_005000"	0.0208333	0.50137	0	0	0	1	0	0	0	0	0	0.239394	0	0	0	0	0	0	0	0	0	0	0	0	0	0.554016
_D:	"N120_20140703_005000_20140703_011000"	0.0347222	0.50137	0	0	0	1	0	0	0	0	0	0.254545	0	0	0	0	0	0	0	0	0	0	0	0	0	0.468766
_D:	"N120_20140703_011000_20140703_013000"	0.0486111	0.50137	0	0	0	1	0	0	0	0	0	0.269697	0	0	0	0	0	0	0	0	0	0	0	0	0	0.304928
_D:	"N120_20140703_013000_20140703_015000"	0.0625	0.50137	0	0	0	1	0	0	0	0	0	0.284848	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178843
_D:	"N120_20140703_021000_20140703_023000"	0.0902778	0.50137	0	0	0	1	0	0	0	0	0	0.312121	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14838
_D:	"N120_20140703_023000_20140703_025000"	0.104167	0.50137	0	0	0	1	0	0	0	0	0	0.269697	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227266
_D:	"N120_20140703_025000_20140703_031000"	0.118056	0.50137	0	0	0	1	0	0	0	0	0	0.281818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322648
_D:	"N120_20140703_031000_20140703_033000"	0.131944	0.50137	0	0	0	1	0	0	0	0	0	0.293939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0728799
_D:	"N120_20140703_033000_20140703_035000"	0.145833	0.50137	0	0	0	1	0	0	0	0	0	0.263636	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147865
_D:	"N120_20140703_035000_20140703_041000"	0.159722	0.50137	0	0	0	1	0	0	0	0	0	0.269697	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233437
_D:	"N120_20140703_041000_20140703_043000"	0.173611	0.50137	0	0	0	1	0	0	0	0	0	0.263636	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145883
_D:	"N120_20140703_043000_20140703_045000"	0.1875	0.50137	0	0	0	1	0	0	0	0	0	0.309091	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109536
